Area code,Area name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E09000033,Westminster,3900,4400.0,5400.0,5300.0,5800.0,5300.0,5400.0,6200.0,7800.0,6100.0,6500.0,6600.0,6700.0,6800.0,6900.0,7000.0,7000.0
Source: Inter-Departmental Business Register,,,,,,,,,,,,,,,,,,
"Crown copyright, Office for National Statistics, 2018",,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,
"1. ""Unlicensed Restaurants and Cafes"" covers workplaces classified as subclass 56.10/2 by the Standard Industrial Classification (SIC 2007). ",,,,,,,,,,,,,,,,,,
Further information on SIC 2007 can be found at:,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial- classification/index.html,,,,,,,,,,,,,,,,,,
2. All figures have been rounded to the nearest 100. Figures may not add exactly due to rounding. Some figures which appear to be zero may not actually be zero.,,,,,,,,,,,,,,,,,,
3. Workplaces with zero employment and enterprises with zero employment have been excluded from this analysis.,,,,,,,,,,,,,,,,,,
"4. In 2015, the IDBR extended the coverage of businesses to include a population of solely PAYE-based businesses that were",,,,,,,,,,,,,,,,,,
"previously excluded because of a risk of duplication. At UK level, 105,000 businesses have been added in 2015. A more detailed",,,,,,,,,,,,,,,,,,
note explaining these changes can be found on our website at:,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/method-quality/specific/business-and-energy/uk-business--activity--size-and-location/index.html?format=contrast,,,,,,,,,,,,,,,,,,
5. Data prior to 2009 has been converted from SIC 1992 and SIC 2003 onto SIC 2007 to provide a consistent time series. ,,,,,,,,,,,,,,,,,,
"Caution should be exercised in interpreting the pre-2009 industry sector breakdowns as the conversion process relies on modelling, ",,,,,,,,,,,,,,,,,,
"which is based on assumptions, and may not fully account for changes in the treatment of head office activities before the introduction of SIC07. ",,,,,,,,,,,,,,,,,,
"More information can be found in Appendix 1 of the article 'Size of firms in London, 2001 to 2012'. ",,,,,,,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/regional-trends/london-analysis/size-of-firms-in-london--2001-to-2012/index.html ,,,,,,,,,,,,,,,,,,
